,NewDate,# of RFpred==1,# of RFpred==0,# of RFpred==-1,# of SVMpred==1,# of SVMpred==0,# of SVMpred==-1,,Real,RF pred,RF result,SVM pred,SVM result,,,no data,--,,
217,275,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
218,276,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
219,277,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
220,278,2,5,0,1,6,0,,1,down,rd,down,rd,,,,,,
221,279,0,4,0,0,4,0,,1,down,rd,down,rd,,,,,,
222,280,0,3,0,0,3,0,,1,down,rd,down,rd,,,,,,
223,281,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
224,282,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
225,283,0,2,0,0,2,0,,1,down,rd,down,rd,,,,,,
226,284,0,3,0,0,3,0,,1,down,rd,down,rd,,,,,,
227,285,0,3,0,0,3,0,,1,down,rd,down,rd,,,,,,
228,286,0,3,0,0,3,0,,1,down,rd,down,rd,,,,,,
229,287,0,1,0,0,1,0,,0,down,dd,down,dd,,,,,,
230,288,0,1,0,0,1,0,,0,down,dd,down,dd,,,,,,
231,289,0,2,0,0,2,0,,0,down,dd,down,dd,,,,,,
232,290,0,2,0,0,2,0,,0,down,dd,down,dd,,,,,,
233,291,0,1,0,0,1,0,,0,down,dd,down,dd,,,,,,
234,292,0,1,0,0,1,0,,0,down,dd,down,dd,,,,,,
235,293,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
236,294,0,2,0,0,2,0,,0,down,dd,down,dd,,,,,,
237,295,0,2,0,0,2,0,,1,down,rd,down,rd,,,,,,
238,296,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
239,297,0,2,0,0,2,0,,0,down,dd,down,dd,,,,,,
240,298,0,2,0,0,2,0,,0,down,dd,down,dd,,,,,,
241,299,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
242,300,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
243,301,0,2,0,0,2,0,,0,down,dd,down,dd,,,,,,
244,302,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
245,303,0,1,0,0,1,0,,0,down,dd,down,dd,,,,,,
246,304,0,2,0,0,2,0,,1,down,rd,down,rd,,,,,,
247,305,0,3,0,0,3,0,,1,down,rd,down,rd,,,,,,
248,306,0,2,0,0,2,0,,0,down,dd,down,dd,,,,,,
249,307,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
250,308,0,3,0,0,3,0,,1,down,rd,down,rd,,,,,,
251,309,0,2,0,0,2,0,,0,down,dd,down,dd,,,,,,
252,310,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
253,311,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
254,312,0,3,0,0,3,0,,1,down,rd,down,rd,,,,,,
255,313,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
256,314,0,3,0,0,3,0,,0,down,dd,down,dd,,,,,,
257,315,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
258,316,0,3,0,0,3,0,,0,down,dd,down,dd,,,,,,
259,317,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
260,318,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
261,319,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
262,320,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
263,321,0,4,0,0,4,0,,0,down,dd,down,dd,,,,,,
264,322,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
265,323,0,2,0,0,2,0,,0,down,dd,down,dd,,,,,,
266,324,0,2,0,0,2,0,,1,down,rd,down,rd,,,,,,
267,325,0,2,0,0,2,0,,0,down,dd,down,dd,,,,,,
268,326,0,3,0,0,3,0,,0,down,dd,down,dd,,,,,,
269,327,0,4,0,0,4,0,,0,down,dd,down,dd,,,,,,
270,328,2,3,0,0,5,0,,1,down,rd,down,rd,,,,,,
271,329,1,3,0,0,4,0,,0,down,dd,down,dd,,,,,,
272,330,0,3,0,0,3,0,,1,down,rd,down,rd,,,,,,
273,331,0,5,0,0,5,0,,0,down,dd,down,dd,,,,,,
274,332,1,3,0,0,4,0,,0,down,dd,down,dd,,,,,,
275,333,0,3,0,0,3,0,,1,down,rd,down,rd,,,,,,
276,334,0,4,0,0,4,0,,1,down,rd,down,rd,,,,,,
277,335,0,3,0,0,3,0,,1,down,rd,down,rd,,,,,,
278,336,0,3,0,0,3,0,,0,down,dd,down,dd,,,,,,
279,337,0,3,0,0,3,0,,1,down,rd,down,rd,,,,,,
280,338,0,3,0,0,3,0,,0,down,dd,down,dd,,,,,,
281,339,0,1,0,0,1,0,,0,down,dd,down,dd,,,,,,
282,340,0,4,0,0,4,0,,1,down,rd,down,rd,,,,,,
283,341,0,4,0,0,4,0,,0,down,dd,down,dd,,,,,,
