,NewDate,# of RFpred==1,# of RFpred==0,# of RFpred==-1,# of SVMpred==1,# of SVMpred==0,# of SVMpred==-1
635,693,6,12,0,9,9,0
636,694,13,15,0,17,11,0
637,695,25,8,0,24,9,0
638,696,33,10,0,32,11,0
639,697,14,16,0,14,16,0
640,698,7,9,0,4,12,0
641,699,10,10,0,10,10,0
642,700,14,7,0,14,7,0
643,701,15,8,0,12,11,0
644,702,11,7,0,7,11,0
645,703,13,13,0,8,18,0
646,704,11,14,0,10,15,0
647,705,12,11,0,12,11,0
648,706,16,7,0,13,10,0
649,707,11,10,0,16,5,0
650,708,19,8,0,13,14,0
651,709,18,10,0,16,12,0
652,710,13,15,0,13,15,0
653,711,12,14,0,11,15,0
654,712,21,9,0,20,10,0
655,713,21,6,0,21,6,0
656,714,13,15,0,23,5,0
657,715,31,7,0,25,13,0
658,716,25,7,0,22,10,0
659,717,23,7,0,24,6,0
660,718,13,6,0,13,6,0
661,719,11,23,0,11,23,0
662,720,13,9,0,9,13,0
663,721,12,6,0,11,7,0
664,722,9,7,0,4,12,0
665,723,14,13,0,13,14,0
666,724,11,4,0,11,4,0
667,725,16,4,0,15,5,0
668,726,14,19,0,15,18,0
669,727,15,10,0,15,10,0
670,728,9,15,0,10,14,0
671,729,14,10,0,11,13,0
672,730,17,7,0,13,11,0
673,731,10,18,0,10,18,0
674,732,13,9,0,7,15,0
675,733,8,15,0,4,19,0
676,734,13,20,0,10,23,0
677,735,4,13,0,4,13,0
678,736,18,9,0,18,9,0
679,737,19,9,0,19,9,0
