gram,TF,DF,TF_IDF,all_TF,all_DF,all_TF_IDF,expected_TF,expected_DF,DF_chisquare,MI,Lift,TF*DF_chisquare
賣超億元,744,301,2.6493038,10409,5130,9.082052203,45.71372731,22.52967827,3441.936416,4.03261E-05,13.36015528,2560800.694
外資買超前,206,202,2.841679661,740,728,10.28478158,3.249895111,3.197194109,12361.63782,0.000190703,63.18039915,2546497.392
大立光,794,478,1.885310102,26137,12770,7.660186353,114.7871737,56.08264942,3174.141246,2.57261E-05,8.52313514,2520268.15
立光,795,479,1.882034321,26246,12838,7.650243131,115.2658744,56.38128843,3167.834229,2.56434E-05,8.49572639,2518428.212
股以,436,411,1.998155136,6409,5889,8.412766532,28.14672671,25.86301663,5735.235686,4.79664E-05,15.89141769,2500562.759
元投信,390,386,2.069443229,4811,4758,8.628427674,21.12870997,20.89594721,6379.273837,5.57571E-05,18.47248158,2487916.796
資買,601,382,2.194768897,9164,6893,8.34531949,40.24599838,30.27233379,4086.647302,3.80883E-05,12.61878264,2456075.028
作收上漲,291,290,2.426335787,2638,2132,9.688950329,11.5854369,9.36321132,8411.324327,9.34863E-05,30.97227971,2447695.379
權值股,617,408,2.093006195,11654,8079,8.171554208,51.18145625,35.48094946,3911.12541,3.47088E-05,11.49912858,2413164.378
電日,319,316,2.323629577,2896,2780,9.263499484,12.71850843,12.20906542,7559.049672,7.81231E-05,25.88240698,2411336.845
作收上,302,301,2.381356563,2932,2424,9.540489709,12.87661144,10.64560236,7919.296001,8.53436E-05,28.27458604,2391627.392
賣超前,453,230,2.929028808,3456,2119,9.958059267,15.17788852,9.306118568,5233.738314,7.45992E-05,24.71492259,2370883.456
張第名,749,42,5.965205298,1944,125,14.68155976,8.537562292,0.548968769,3129.846519,0.000230928,76.50708454,2344255.043
投信買超前,192,192,2.887866222,679,679,10.30142854,2.981998352,2.981998352,11981.16187,0.000194343,64.38635349,2300383.079
法人,1469,720,1.27315224,93919,41829,5.367999548,412.4687824,183.702517,1565.65623,1.18302E-05,3.919380157,2299949.002
超億元自營商,346,317,2.342173767,3414,3152,9.164623047,14.99343501,13.84279647,6639.141898,6.9121E-05,22.89999717,2297143.097
上漲美,569,285,2.658687577,9220,4034,9.504925093,40.49193638,17.71632011,4032.472043,4.85563E-05,16.08686219,2294476.593
下聯,199,199,2.850241772,772,760,10.26102288,3.390431116,3.337730114,11469.98785,0.00017996,59.62135739,2282527.582
盤面,652,357,2.327433962,9578,7000,8.344269603,42.06418294,30.74225105,3462.469894,3.50515E-05,11.61268247,2257530.371
電在掛牌以美,274,274,2.492755666,1961,1961,9.562557408,8.612222044,8.612222044,8177.990805,9.60307E-05,31.8152503,2240769.481
三大法人,716,462,1.920598689,19056,12239,7.563536883,83.68919086,53.75063009,3100.755243,2.59438E-05,8.595248079,2220140.754
類股,1141,466,2.006234745,42848,17802,7.151180835,188.1777104,78.18193617,1923.754488,1.7991E-05,5.960456121,2195003.871
友達,533,389,2.135091926,13804,7090,8.581645011,60.62371907,31.13750856,4112.903334,3.77086E-05,12.49297127,2192177.477
大法人,719,464,1.91426815,19409,12522,7.522457721,85.23947866,54.99349538,3041.929226,2.54672E-05,8.437361488,2187147.113
股為,469,394,2.082901483,7382,6565,8.290454816,32.41989961,28.83183974,4625.018261,4.12476E-05,13.66544777,2169133.564
億元外資,332,309,2.369389711,3236,3099,9.150824376,14.21170349,13.61003372,6411.095961,6.85289E-05,22.70383795,2128483.859
投信買超,374,275,2.58508086,3343,2777,9.395045494,14.68162075,12.19589017,5663.055275,6.80603E-05,22.54857958,2117982.673
信買超,374,275,2.58508086,3344,2778,9.394607812,14.6860125,12.20028192,5660.827536,6.80358E-05,22.54046274,2117149.498
